PING 192.168.0.1 (192.168.0.1): 56 data bytes 64 bytes from 192.168.0.1: icmp_seq=0 ttl=64 time=188.918 ms --- 192.168.0.1 ping statistics --- 1 packets transmitted, 1 packets received, 0.0% packet loss round-trip min/avg/max/stddev = 188.918/188.918/188.918/0.000 ms
PING 192.168.1.1 (192.168.1.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.1.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.2.1 (192.168.2.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.2.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.3.1 (192.168.3.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.3.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.4.1 (192.168.4.1): 56 data bytes 64 bytes from 192.168.4.1: icmp_seq=0 ttl=254 time=31.078 ms --- 192.168.4.1 ping statistics --- 2 packets transmitted, 1 packets received, 50.0% packet loss round-trip min/avg/max/stddev = 31.078/31.078/31.078/0.000 ms
PING 192.168.5.1 (192.168.5.1): 56 data bytes --- 192.168.5.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.6.1 (192.168.6.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.6.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.7.1 (192.168.7.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.7.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.8.1 (192.168.8.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.8.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.9.1 (192.168.9.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.9.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.10.1 (192.168.10.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.10.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.11.1 (192.168.11.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.11.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.12.1 (192.168.12.1): 56 data bytes --- 192.168.12.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.13.1 (192.168.13.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.13.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.14.1 (192.168.14.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.14.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.15.1 (192.168.15.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.15.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.16.1 (192.168.16.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.16.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.17.1 (192.168.17.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.17.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.18.1 (192.168.18.1): 56 data bytes --- 192.168.18.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.19.1 (192.168.19.1): 56 data bytes --- 192.168.19.1 ping statistics --- 1 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.20.1 (192.168.20.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.20.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.21.1 (192.168.21.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.21.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.22.1 (192.168.22.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.22.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.23.1 (192.168.23.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.23.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.24.1 (192.168.24.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.24.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.25.1 (192.168.25.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.25.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.26.1 (192.168.26.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.26.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.27.1 (192.168.27.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.27.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.28.1 (192.168.28.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.28.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.29.1 (192.168.29.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.29.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.30.1 (192.168.30.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.30.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.31.1 (192.168.31.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.31.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.32.1 (192.168.32.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.32.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.33.1 (192.168.33.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.33.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
PING 192.168.34.1 (192.168.34.1): 56 data bytes Request timeout for icmp_seq 0 --- 192.168.34.1 ping statistics --- 2 packets transmitted, 0 packets received, 100.0% packet loss
